Dim1,Dim2,name,canonical_smiles
0.0,0.86517346,XPhos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1
0.042215772,0.7155539,CPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
0.053573035,0.6458625,SPhos,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
0.0060723345,0.8512831,RuPhos,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
0.16228233,0.6343356,CyJohnPhos,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1
1.0,0.2686964,P(tBu)3,CC(C)(C)P(C(C)(C)C)C(C)(C)C
0.8359422,0.2405994,cataCXium A,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2
0.87893575,0.0,PCy3,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1
0.0017279948,0.9852142,BrettPhos,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
0.8046861,0.5672859,APhos,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1
0.07018647,0.676678,DavePhos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1
0.22722583,1.0,(t-Bu)PhCPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C
0.262846,0.96599656,MorDalPhos,c1ccc(P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)c(N2CCOCC2)c1
0.0052650087,0.9835793,EPhos,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1
