Dim1,Dim2,canonical_smiles,name,cas,inchikey,ID,paper_name,
0.010851464,0.7704479,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,XPhos,564483-18-7,UGOMMVLRQDMAQQ-UHFFFAOYSA-N,1,Pd1,
0.046859637,0.5481647,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CPhos, 1160556-64-8,DRNAQRXLOSUHBQ-UHFFFAOYSA-N,2,-,
0.059477158,0.4291471,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,SPhos,657408-07-6,VNFWTIYUKDMAOP-UHFFFAOYSA-N,3,Pd3,
0.01582289,0.75526863,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,RuPhos,787618-22-8,MXFYYFVVIIWKFE-UHFFFAOYSA-N,4,-,
0.1754604,0.45678613,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,CyJohnPhos, 247940-06-3,LCSNDSFWVKMJCT-UHFFFAOYSA-N,5,-,
1.0,0.5642995,CC(C)(C)P(C(C)(C)C)C(C)(C)C,P(tBu)3, 1621274-11-0,BWHDROKFUHTORW-UHFFFAOYSA-N,8,Pd4,
0.88940907,0.2890038,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,cataCxium A,321921-71-5,HTJWUNNIRKDDIV-UHFFFAOYSA-N,10,-
0.9753653,0.0,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,PCy3,2622-14-2,WLPUWLXVBWGYMZ-UHFFFAOYSA-N,11,Pd6,
0.0,0.9175589,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,BrettPhos,1070663-78-3,WDVGNXKCFBOKDF-UHFFFAOYSA-N,102,Pd5,
0.8347936,0.70576906,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,APhos, 932710-63-9,IQTHEAQKKVAXGV-UHFFFAOYSA-N,216,-
0.07920417,0.527733,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,DavePhos, 213697-53-1,ZEMZPXWZVTUONV-UHFFFAOYSA-N,263,-
0.2155901,1.0,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,(t-Bu)PhCphos, 1660153-91-2,HTHOMNNVAUPLKK-UHFFFAOYSA-N,365,-,
0.25273395,0.9718339,c1ccc(P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)c(N2CCOCC2)c1,MorDalPhos, 2230788-66-4,CCBRRSUORFMQCZ-UHFFFAOYSA-N,371,Pd7,
0.003804241,0.91017205,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1,Ephos,2132978-44-8,FDAKNRLXSJBEFL-UHFFFAOYSA-N,373,Pd2,
