name,smiles,cas
sPhos,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,657408-07-6
XPhos,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,564483-18-7
RuPhos,CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,787618-22-8
BrettPhos,COc1c(P(C2CCCCC2)C3CCCCC3)c(c4c(C(C)C)cc(C(C)C)cc4C(C)C)c(OC)cc1,1070663-78-3
PCy3,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,2622-14-2
cataCXium A,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,321921-71-5
Xantphos,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,161265-03-8
BINAP,P(c8ccccc8)(c7ccccc7)c1c(c6c(cc1)cccc6)c2c3c(ccc2P(c5ccccc5)c4ccccc4)cccc3,98327-87-8
dppf,c1ccc(cc1)P(c2ccccc2)C34C5[Fe]3678912(C5C6C74)C3C8C9C1(C23)P(c1ccccc1)c1ccccc1,12150-46-8
P(tBu)3,CC(C)(C)P(C(C)(C)C)C(C)(C)C, 1621274-11-0
Ephos,P(C4CCCCC4)(C3CCCCC3)c1c(cccc1c2c(cc(cc2C(C)C)C(C)C)C(C)C)OC(C)C,2132978-44-8
MorDalPhos,c1ccc(P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)c(N2CCOCC2)c1, 2230788-66-4
DavePhos,CN(C)c1ccccc1-c2ccccc2P(C3CCCCC3)C4CCCCC4, 213697-53-1
CyJohnPhos,C1CCC(CC1)P(C2CCCCC2)c3ccccc3-c4ccccc4, 247940-06-3
CPhos,CN(C)C(C=CC=C1N(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4, 1160556-64-8
(t-Bu)PhCphos,P(C(C)(C)C)(c2c(cccc2)c3c(cccc3N(C)C)N(C)C)c1ccccc1, 1660153-91-2
APhos, CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C, 932710-63-9
