,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.048,0.0,0.0,1.18,-36.852,-44.273,-92.762
1,3.404,1204.87,183.15,0.06,19.76,26.242,64.778
2,3.572,4442346.07,297136.08,0.23,90.401,79.322,73.522
3,3.844,4877.33,465.22,0.08,11.665,20.282,60.854
4,3.948,0.0,0.0,0.12,-2.505,4.902,36.787
5,4.164,0.0,0.0,0.06,-9.692,-3.149,26.466
6,4.252,0.0,0.0,0.13,-10.096,-5.554,19.749
7,4.584,45852.63,1105.57,0.51,20.04,29.028,67.906
8,5.028,1161.93,186.07,0.22,15.593,21.678,63.37
9,5.252,3579.45,258.07,0.29,16.934,22.419,64.495
10,5.532,910.03,81.52,0.22,13.964,19.324,62.677
11,5.808,1397.38,125.53,0.28,13.174,18.104,62.566
12,5.944,2575.67,156.65,0.16,14.912,18.855,64.093
