,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.048,0.0,0.0,1.15,-36.693,-44.184,-92.703
1,3.368,163947.1,8057.98,0.27,61.451,67.155,87.232
2,3.628,942224.97,67810.91,0.2,62.493,51.159,91.659
3,3.812,0.0,0.0,0.15,37.327,38.328,69.977
4,4.076,0.0,0.0,0.1,30.038,28.694,36.71
5,4.584,7685426.37,472041.08,0.43,72.501,99.236,58.448
6,4.808,119393.21,7065.68,0.13,56.167,48.765,90.585
7,5.084,4085.59,516.61,0.1,31.603,31.313,74.053
8,5.232,102759.39,7219.36,0.16,41.711,43.499,88.451
9,5.516,7040.88,676.48,0.13,33.298,33.749,74.684
10,5.808,10659.31,645.72,0.15,30.254,29.152,74.043
11,5.972,83347.2,3946.8,0.2,43.057,41.28,83.579
