,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.044,0.0,0.0,1.25,-36.711,-44.083,-93.198
1,3.44,21133158.27,1051600.53,0.23,41.69,52.878,93.498
2,3.636,1042048.93,60112.25,0.17,63.165,50.939,91.509
3,3.928,28131.25,1864.0,0.23,55.235,44.806,82.854
4,4.508,52045.72,2775.3,0.17,39.315,35.081,83.301
5,4.596,147984.61,9544.01,0.1,64.3,74.785,86.337
6,4.7,114835.19,5425.12,0.19,39.5,36.287,86.178
7,5.18,265724.53,13357.85,0.22,41.201,40.963,91.261
8,5.44,66894.75,4590.23,0.16,37.54,33.522,83.419
9,5.68,181608.94,11293.84,0.21,39.83,37.187,87.345
