,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.888,206353.42,5615.66,0.3,27.162,38.125,85.384
1,3.376,175002.0,7215.92,0.27,71.589,76.007,88.572
2,3.62,25449.07,2301.37,0.16,50.609,43.148,85.694
3,3.904,15455.98,1016.96,0.16,55.027,50.737,79.25
4,3.984,0.0,0.0,0.08,39.702,37.215,66.703
5,4.12,60232.22,5583.12,0.09,52.141,54.943,89.082
6,4.188,41643.22,3325.1,0.1,55.519,59.702,83.31
7,4.584,5917827.13,385153.39,0.48,72.887,99.119,59.652
8,4.832,21385859.09,1162307.22,0.26,46.745,49.284,95.995
9,5.072,540521.47,31319.33,0.14,58.907,58.296,96.486
10,5.232,2358309.29,148913.59,0.16,57.068,60.774,95.019
11,5.356,252941.94,15884.64,0.12,61.412,65.356,89.799
12,5.764,51103.23,3078.65,0.17,39.177,33.358,79.974
13,5.988,46161.81,2615.7,0.2,37.732,31.269,78.98
