,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.888,258076.11,5731.6,0.44,-0.999,18.075,51.06
1,3.396,4337865.76,176789.34,0.25,38.059,49.339,88.4
2,3.556,4700720.13,246971.72,0.23,90.304,79.313,73.48
3,3.828,25631.57,1315.92,0.17,8.9,17.451,62.416
4,4.068,0.0,0.0,0.18,-20.802,-19.389,-24.622
5,4.58,2280121.6,146148.64,0.35,72.253,98.875,60.741
6,4.828,20959969.97,1156830.26,0.27,45.9,48.949,95.115
7,5.072,15321.4,1500.09,0.12,30.037,29.724,74.561
8,5.228,220554.77,15462.38,0.16,46.76,49.138,92.796
9,5.356,8804.03,929.88,0.1,29.691,30.824,73.15
