,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.856,344.95,10.78,0.21,-28.96,-40.825,-84.416
1,3.188,479.12,20.92,0.16,39.674,45.503,93.825
2,3.26,290.87,18.83,0.08,39.834,45.503,93.98
3,3.464,155.38,12.19,0.12,39.794,45.217,94.134
4,3.584,30.57,3.95,0.05,39.538,44.491,94.403
5,3.868,581.72,17.51,0.22,39.609,44.56,94.28
6,3.996,109.96,9.54,0.08,38.792,43.212,93.163
7,4.112,12.38,3.05,0.04,35.744,38.037,88.275
8,4.384,213.02,13.71,0.09,39.36,44.175,93.977
9,4.496,460.14,21.08,0.12,39.685,44.967,94.269
10,4.6,852.3,35.24,0.14,39.85,45.372,94.208
11,4.76,495.72,26.2,0.09,39.616,45.325,93.87
12,4.832,190830.0,13339.78,0.36,47.862,49.682,97.174
13,5.244,450.83,18.41,0.18,39.379,45.244,93.55
14,5.336,162.3,13.71,0.06,39.185,45.143,93.5
15,5.544,1019.13,64.48,0.18,39.556,45.794,93.534
16,5.7,24.16,5.94,0.04,38.735,44.917,93.416
17,5.836,25.57,5.75,0.03,38.868,44.918,93.629
