,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.828,339.73,13.57,0.17,-33.42,-43.068,-87.66
1,3.164,2526.15,128.9,0.17,39.39,46.124,91.219
2,3.436,760981.34,48504.14,0.22,41.634,52.838,93.361
3,3.584,94880.33,3813.66,0.25,76.95,71.576,90.912
4,3.932,9562.76,542.07,0.23,58.611,56.062,96.15
5,4.596,63163.42,3974.75,0.28,61.515,73.87,93.764
6,4.704,2082.83,121.21,0.11,43.65,46.728,96.605
7,4.932,335.73,35.22,0.09,43.988,45.932,97.4
8,5.212,7386.48,399.92,0.22,45.092,49.08,96.474
9,5.456,1354.92,98.97,0.13,43.223,46.338,96.879
10,5.68,7717.32,596.16,0.11,43.956,46.187,97.425
11,5.74,3016.64,246.04,0.08,44.817,47.464,97.471
