[Header]
Application Name	LabSolutions
Version	5.92
Data File Name	C:\LabSolutions\Data\SimonePilon_FLOW\batch_1\SM 10mM.lcd
Output Date	31/03/2025
Output Time	10:05:24

[File Information]
Type	Data File
Generated	29/03/2025 21:05:38
Generated by	System Administrator
Modified	29/03/2025 21:13:01
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	29/03/2025 21:06:00
Sample Type	0:Unknown
Level	0
Sample Name	SM 10mM
Sample ID	SM 10mM
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	49
Injection Volume	1

[Original Files]
Data File	C:\LabSolutions\Data\SimonePilon_FLOW\batch_1\SM 10mM.lcd
Method File	C:\LabSolutions\Data\SimonePilon_FLOW\SPES42_enz_red.lcm
Batch File	C:\LabSolutions\Data\SimonePilon_FLOW\gigantic batch.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC_Shimadzu
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector B	PDA
Detector Name	RI Detector	PDA
# of Channels	1	5

[Peak Table(Detector B)]
# of Peaks	0

[Peak Table(PDA-Ch1)]
# of Peaks	19
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.176	0.080	0.280	773806	126259	6.129	0.000	   			0.000	17	9040.677	0.965	0.000	0.000	0	0	0.000	0.000
2	0.588	0.296	0.712	6685169	879903	7.598	0.000	   			2.342	425	353.100	0.000	2.873	0.000	0	0	0.000	0.000
3	0.857	0.712	0.936	672854	38946	17.277	0.000	 V 			3.867	0	0.000	0.000	0.000	1.651	0	0	0.000	0.000
4	2.375	1.944	2.640	1778189	57853	30.736	0.000	   	1	caffeine	12.492	3	50288.157	0.000	0.000	3.231	0	0	0.000	0.000
5	2.688	2.640	2.832	608756	53278	11.426	0.000	 V 			14.273	2	98964.504	0.000	0.044	1.143	0	0	0.000	0.000
6	3.367	2.832	3.568	2668267	85308	31.278	0.000	 V 			18.133	8	19171.024	0.000	0.100	1.270	0	0	0.000	0.000
7	3.630	3.568	3.864	1310401	137432	9.535	0.000	 V 			19.623	8311	18.047	0.000	0.105	1.082	0	0	0.000	0.000
8	3.925	3.864	3.984	414938	57826	7.176	0.000	 V 			21.301	1	243281.846	0.000	0.029	1.086	0	0	0.000	0.000
9	4.138	3.984	4.200	781619	65350	11.960	0.000	 V 			22.512	20	7562.240	0.000	0.018	1.057	0	0	0.000	0.000
10	4.587	4.200	6.968	9176496	1012920	9.059	0.000	SV 			25.062	30311	4.949	0.000	0.235	1.113	0	0	0.000	0.000
11	4.806	4.776	4.872	10675	4110	2.598	0.000	T  			26.308	62416	2.403	1.358	2.405	1.050	0	0	0.000	0.000
12	5.075	5.032	5.144	6375	2040	3.124	0.000	T  			27.838	50342	2.980	1.168	3.217	1.058	0	0	0.000	0.000
13	5.232	5.176	5.320	60800	16375	3.713	0.000	T  			28.729	41613	3.605	1.270	1.625	1.032	0	0	0.000	0.000
14	5.351	5.320	5.440	6967	1626	4.285	0.000	TV 			29.403	30579	4.905	0.000	1.054	1.023	0	0	0.000	0.000
15	5.503	5.440	5.584	7220	1893	3.813	0.000	TV 			30.265	41922	3.578	0.000	1.319	1.029	0	0	0.000	0.000
16	5.640	5.616	5.712	2447	723	3.383	0.000	T  			31.045	73169	2.050	1.971	1.438	1.026	0	0	0.000	0.000
17	5.777	5.712	5.864	14857	2388	6.222	0.000	TV 			31.826	18041	8.314	0.000	1.076	1.025	0	0	0.000	0.000
18	5.976	5.864	6.192	81082	11490	7.057	0.000	TV 			32.953	20935	7.165	0.000	1.177	1.035	0	0	0.000	0.000
19	6.402	6.192	6.544	20482	2303	8.893	0.000	TV 			35.373	44687	3.357	0.000	2.975	1.073	0	0	0.000	0.000

[Peak Table(PDA-Ch2)]
