[Header]
Application Name	LabSolutions
Version	5.92
Data File Name	C:\LabSolutions\Data\SimonePilon_FLOW\batch_1\run 5.lcd
Output Date	31/03/2025
Output Time	10:05:32

[File Information]
Type	Data File
Generated	29/03/2025 17:15:44
Generated by	System Administrator
Modified	29/03/2025 17:23:05
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	29/03/2025 17:16:05
Sample Type	0:Unknown
Level	0
Sample Name	run 5
Sample ID	run 5
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	11
Injection Volume	1

[Original Files]
Data File	C:\LabSolutions\Data\SimonePilon_FLOW\batch_1\run 5.lcd
Method File	C:\LabSolutions\Data\SimonePilon_FLOW\SPES42_enz_red.lcm
Batch File	C:\LabSolutions\Data\SimonePilon_FLOW\gigantic batch.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC_Shimadzu
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector B	PDA
Detector Name	RI Detector	PDA
# of Channels	1	5

[Peak Table(Detector B)]
# of Peaks	0

[Peak Table(PDA-Ch1)]
# of Peaks	16
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.171	0.088	0.272	667551	116383	5.736	0.000	   			0.000	19	8030.048	1.026	0.000	0.000	0	0	0.000	0.000
2	0.586	0.296	0.728	8145556	1098383	7.416	0.000	   			2.421	380	394.374	0.000	2.975	0.000	0	0	0.000	0.000
3	0.859	0.728	0.936	586861	37448	15.671	0.000	 V 			4.011	0	0.000	0.000	0.000	1.657	0	0	0.000	0.000
4	2.005	1.944	2.856	9598539	94021	102.089	0.000	   			10.704	84	1783.538	7.332	0.000	2.669	0	0	0.000	0.000
5	3.388	3.080	3.480	219195	29062	7.542	0.000	   			18.773	4309	34.810	0.000	2.558	1.754	0	0	0.000	0.000
6	3.554	3.480	3.840	351329	44186	7.951	0.000	 V 			19.740	5755	26.064	0.000	0.842	1.052	0	0	0.000	0.000
7	3.936	3.840	3.992	53516	6307	8.485	0.000	 V 			21.971	54	2767.104	0.000	0.329	1.113	0	0	0.000	0.000
8	4.124	3.992	4.216	117419	11019	10.656	0.000	 V 			23.065	61	2443.556	0.000	0.088	1.050	0	0	0.000	0.000
9	4.242	4.216	4.360	67468	8545	7.895	0.000	 V 			23.758	0	429976.207	0.000	0.008	1.030	0	0	0.000	0.000
10	4.581	4.360	4.760	1138649	300305	3.792	0.000	 V 			25.735	36663	4.091	1.045	0.024	1.083	0	0	0.000	0.000
11	4.829	4.760	5.032	4177750	1008100	4.144	0.000	   			27.180	31934	4.697	1.289	2.429	1.056	0	0	0.000	0.000
12	5.074	5.032	5.160	13289	4312	3.082	0.000	   			28.609	52427	2.861	1.311	2.491	1.053	0	0	0.000	0.000
13	5.230	5.168	5.320	129091	36604	3.527	0.000	   			29.521	44275	3.388	1.218	1.661	1.032	0	0	0.000	0.000
14	5.355	5.320	5.432	8531	2805	3.042	0.000	   			30.253	57949	2.588	1.433	1.331	1.025	0	0	0.000	0.000
15	5.501	5.456	5.600	23855	7234	3.298	0.000	   			31.105	55428	2.706	1.309	1.602	1.028	0	0	0.000	0.000
16	6.407	6.352	6.552	15714	4489	3.501	0.000	   			36.393	68722	2.183	1.346	9.477	1.170	0	0	0.000	0.000

[Peak Table(PDA-Ch2)]
# of Peaks	19
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.590	0.296	0.632	163211	27222	5.995	0.000	   			0.000	566	264.792	0.564	0.000	0.000	0	0	0.000	0.000
2	0.784	0.632	1.008	198097	10521	18.830	0.000	   			0.330	5	30390.210	0.000	0.257	0.000	0	0	0.000	0.000
3	1.209	1.008	1.352	157556	7699	20.465	0.000	 V 			1.051	4	35308.386	0.000	0.226	3.188	0	0	0.000	0.000
4	1.400	1.352	1.440	34098	6448	5.288	0.000	 V 			1.374	0	0.000	0.000	0.000	1.307	0	0	0.000	0.000
5	1.508	1.440	1.664	73166	5859	12.488	0.000	 V 			1.557	0	0.000	0.000	0.000	1.133	0	0	0.000	0.000
6	2.004	1.664	2.096	123368	5112	24.133	0.000	 V 			2.398	17	8660.080	0.000	0.000	1.541	0	0	0.000	0.000
7	2.248	2.096	2.328	54796	3828	14.313	0.000	 V 			2.812	0	0.000	0.000	0.000	1.173	0	0	0.000	0.000
8	2.430	2.328	2.520	32974	2918	11.301	0.000	 V 			3.122	0	0.000	0.000	0.000	1.110	0	0	0.000	0.000
9	2.560	2.520	2.808	18898	1971	9.588	0.000	 V 			3.341	0	0.000	0.000	0.000	1.070	0	0	0.000	0.000
10	3.390	3.264	3.456	33861	6645	5.096	0.000	   			4.749	9048	16.579	0.000	0.000	1.421	0	0	0.000	0.000
11	3.554	3.456	3.712	296463	58963	5.028	0.000	 V 			5.027	11850	12.659	1.105	1.197	1.058	0	0	0.000	0.000
12	3.919	3.800	3.960	3076	778	3.956	0.000	   			5.646	21617	6.939	0.000	3.080	1.123	0	0	0.000	0.000
13	4.096	3.960	4.136	10683	1586	6.735	0.000	 V 			5.946	5957	25.180	0.000	1.109	1.053	0	0	0.000	0.000
14	4.581	4.136	4.760	1346000	371787	3.620	0.000	 V 			6.769	37906	3.957	1.107	3.167	1.138	0	0	0.000	0.000
15	4.828	4.760	4.928	102816	30556	3.365	0.000	   			7.188	42768	3.507	1.217	2.635	1.062	0	0	0.000	0.000
16	5.081	5.032	5.152	8099	2425	3.340	0.000	   			7.617	49201	3.049	1.189	2.739	1.060	0	0	0.000	0.000
17	5.239	5.176	5.312	41343	11982	3.451	0.000	   			7.885	48413	3.098	1.249	1.692	1.035	0	0	0.000	0.000
18	5.365	5.312	5.432	11087	3117	3.556	0.000	 V 			8.098	47602	3.151	0.000	1.292	1.027	0	0	0.000	0.000
19	5.512	5.448	5.576	4573	1095	4.177	0.000	   			8.348	40741	3.682	1.047	1.421	1.031	0	0	0.000	0.000

[Peak Table(PDA-Ch3)]
# of Peaks	17
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.333	0.304	0.368	5180	1350	3.837	0.000	   			0.000	0	0.000	0.000	0.000	0.000	0	0	0.000	0.000
2	0.591	0.368	0.624	122809	14245	8.621	0.000	 V 			0.772	53	2814.616	0.000	0.000	0.000	0	0	0.000	0.000
3	0.880	0.632	1.000	127942	4705	27.193	0.000	   			1.639	91	1643.921	0.000	0.835	2.122	0	0	0.000	0.000
4	1.993	1.744	2.592	17959	909	19.760	0.000	   			4.976	359	417.576	1.501	2.820	3.036	0	0	0.000	0.000
5	3.023	2.912	3.240	2088	252	8.288	0.000	   			8.067	3012	49.799	1.160	3.215	1.621	0	0	0.000	0.000
6	3.384	3.272	3.472	6818	1076	6.337	0.000	   			9.150	5485	27.349	0.000	1.793	1.134	0	0	0.000	0.000
7	3.553	3.472	3.688	9329	1930	4.834	0.000	 V 			9.657	12398	12.099	0.000	1.088	1.055	0	0	0.000	0.000
8	4.064	3.984	4.152	1142	195	5.871	0.000	 V 			11.189	8079	18.566	0.000	3.313	1.159	0	0	0.000	0.000
9	4.249	4.152	4.304	3011	502	5.997	0.000	 V 			11.742	7809	19.208	0.000	0.988	1.049	0	0	0.000	0.000
10	4.581	4.304	4.776	335093	93786	3.573	0.000	 V 			12.738	37850	3.963	1.111	2.318	1.085	0	0	0.000	0.000
11	4.837	4.776	4.928	1643	336	4.893	0.000	   			13.507	23078	6.500	1.281	2.314	1.060	0	0	0.000	0.000
12	5.230	5.160	5.304	5821	1574	3.697	0.000	   			14.686	42029	3.569	0.000	3.427	1.087	0	0	0.000	0.000
13	5.360	5.304	5.432	2444	636	3.843	0.000	 V 			15.076	40077	3.743	0.000	1.242	1.027	0	0	0.000	0.000
