Starting Material,Starting Material conc,THF,THF conc,TBADT,TBADT *CTMP* conc,Residence Time,Light Intensity,Yield,vial idx,run index,status,attempts
SM,132.47,THF,4.49,TBADT,0.025,70.23,0,0,x00001,1,finished,1
SM,191.46,THF,7.64,TBADT,0.019,412.31,50,80.1,x00002,2,finished,1
SM,114.38,THF,9.1,TBADT,0.0086,626.88,50,83.63,x00003,3,finished,1
SM,159.45,THF,3.89,TBADT,0.025,1193.14,25,66.96,x00004,4,finished,1
SM,102.72,THF,17.24,TBADT,0.028,293.28,75,85.94,x00005,5,finished,1
SM,57.88,THF,1.35,TBADT,0.012,912.13,25,32.28,x00006,6,finished,1
SM,89.47,THF,14.93,TBADT,0.02,687.27,50,82.97,x00012,8,finished,1
SM,71.71,THF,11.86,TBADT,0.015,205.72,100,86.78,x00013,9,finished,1
SM,152.92,THF,13.19,TBADT,0.006,998.7,50,80.07,x00014,10,finished,1
SM,157.7,THF,2.4,TBADT,0.029,279.1,75,66.42,x00001,12,finished,1
SM,97.964,THF,15.09,TBADT,0.018,304.27,75,90.76,x00001,14,finished,1
SM,90.9425,THF,13.37,TBADT,0.022,466.11,75,84.91,x00002,15,finished,1
SM,116.963,THF,11.76,TBADT,0.017,372.22,75,86.81,x00003,16,finished,1
SM,92.09,THF,13.76,TBADT,0.014,531.52,75,84.41,x00004,17,finished,1
SM,135.2255,THF,13.23,TBADT,0.017,591.88,75,82.09,x00005,18,finished,1
SM,101.3495,THF,15.65,TBADT,0.018,86.9,75,93.94,x00001,20,finished,1
SM,91.496,THF,14.03,TBADT,0.02,73.43,75,90.81,x00002,21,finished,1
SM,101.8235,THF,14.03,TBADT,0.012,79.86,75,77.06,x00003,22,finished,1
SM,69.482,THF,16.61,TBADT,0.018,133.87,75,92.9,x00004,23,finished,1
SM,78.4805,THF,12.85,TBADT,0.016,149.88,75,94.79,x00005,24,finished,1
SM,78.2315,THF,16.48,TBADT,0.02,116.73,100,89.98,x00006,25,finished,1
SM,67.946,THF,7.61,TBADT,0.016,789.35,75,74.22,x00011,26,finished,1
SM,194.348,THF,13.49,TBADT,0.01,508.19,75,88.51,x00012,27,finished,1
SM,57.716,THF,13.2,TBADT,0.018,201.26,75,89.48,x00013,28,finished,1
SM,195.1115,THF,12.86,TBADT,0.01,327.93,25,44.49,x00014,29,finished,1
