Starting Material,Starting Material conc,Photocatalyst,Photocatalyst *CTMP* conc,TFAA,TFAA conc,Pyridinium Oxide,Pyridinium Oxide conc,Residence Time,Light Intensity,Yield,vial idx,run index,status,attempts,file_save_name
SM,160.669,Ir(ppy)_3,0.00277765,TFAA,2.213078,Pyridine N-Oxide,2.260107,261.7,50,1.673004618,1l5ser,1,finished,1,Simone_SPES_37_run1_20241105101948
SM,103.052,(Ir[dF(CF_3)ppy]_2(dtbpy))PF_6,0.00233677,TFAA,2.95192,Pyridine N-Oxide,1.1512440000000002,734.6,75,7.702684719,u8p998,2,finished,1,Simone_SPES_37_run2_20241105101948
SM,154.777,Ir(ppy)_3,0.0036982,TFAA,3.017024,4-Phenylpyridine N-Oxide,2.0928,1135.6,25,0,1kyxe8,3,finished,1,Simone_SPES_37_run3_20241105101948
SM,149.788,Ru(bpy)_3Cl_2∙6H_2O,0.00128794,TFAA,1.802668,Pyridine N-Oxide,2.70936,226.5,50,35.17788725,17elo6,4,finished,1,Simone_SPES_37_run4_20241105101948
SM,132.052,Ir(ppy)_3,0.00171898,TFAA,1.372758,4-Phenylpyridine N-Oxide,2.923224,1699.2,0,0,co3uh4,5,finished,1,Simone_SPES_37_run5_20241105101948
SM,121.179,5CzBN,0.00259627,TFAA,3.347874,4-Phenylpyridine N-Oxide,2.416431,1067.4,50,4.919265623,124it6,6,finished,1,Simone_SPES_37_run6_20241105101948
SM,183.897,Ru(bpy)_3(PF_6)_2,0.00393616,TFAA,2.1025,4-Phenylpyridine N-Oxide,2.804049,876.7,75,0,f70949,7,finished,1,Simone_SPES_37_run7_20241105101948
SM,141.432,Ir(ppy)_3,0.00341935,TFAA,0.92145,4-Phenylpyridine N-Oxide,1.642791,454.9,50,0,oy2yha,8,finished,1,Simone_SPES_37_run8_20241105101948
SM,109.168,Ir(ppy)_3,0.00283012,TFAA,3.231966,Pyridine N-Oxide,1.886118,488.1,0,0,18y6f1,9,finished,1,Simone_SPES_37_run9_20241105101948
SM,115.861,Ru(bpy)_3(PF_6)_2,0.00193066,TFAA,2.716386,Pyridine N-Oxide,2.440035,636.4,75,63.89270229,6qi9no,10,finished,1,Simone_SPES_37_run10_20241105101948
SM,139.385,Ru(bpy)_3(PF_6)_2,0.00145531,TFAA,1.572906,4-Phenylpyridine N-Oxide,1.462527,1650.5,25,3.965777498,uxgr6q,11,finished,1,Simone_SPES_37_run11_20241105101948
SM,169.961,Ru(bpy)_3(PF_6)_2,0.00335254,TFAA,1.741542,4-Phenylpyridine N-Oxide,1.189611,1414.9,25,8.77191216,mq0kcw,12,finished,1,Simone_SPES_37_run12_20241105101948
SM,191.971,5CzBN,0.00104812,TFAA,2.394662,Pyridine N-Oxide,1.409145,981.8,0,0,1tgio4,13,finished,1,Simone_SPES_37_run13_20241105101948
SM,178.371,Ir(ppy)_3,0.00203611,TFAA,1.165798,4-Phenylpyridine N-Oxide,1.859364,1257.8,25,0,e1yfd4,14,finished,1,Simone_SPES_37_run14_20241105101948
SM,198.43,Ir(ppy)_3,0.00315829,TFAA,2.551104,4-Phenylpyridine N-Oxide,0.958506,1514,100,3.444237884,ryurx3,15,finished,1,Simone_SPES_37_run15_20241105101948
SM,200,Ru(bpy)_3(PF_6)_2,0.001,TFAA,3.5,Pyridine N-Oxide,2.48445,120,75,38.13525273,1l5ser,17,finished,1,Simone_SPES_37_run17_20241106084944
SM,100,Ru(bpy)_3(PF_6)_2,0.001,TFAA,3.5,Pyridine N-Oxide,2.414436,120,100,63.2617322,u8p998,18,finished,1,Simone_SPES_37_run18_20241106092413
SM,100,Ru(bpy)_3(PF_6)_2,0.001,TFAA,2.853198,Pyridine N-Oxide,2.545056,120,25,41.97681671,1kyxe8,19,finished,1,Simone_SPES_37_run19_20241106095658
SM,100,Ru(bpy)_3(PF_6)_2,0.00141064,TFAA,1.117724,Pyridine N-Oxide,2.488125,120,100,39.14260427,17elo6,20,finished,1,Simone_SPES_37_run20_20241106102944
SM,100,Ru(bpy)_3(PF_6)_2,0.001,TFAA,3.378736,Pyridine N-Oxide,0.9,120,100,51.03559153,co3uh4,21,finished,1,Simone_SPES_37_run21_20241106110232
SM,100,Ru(bpy)_3(PF_6)_2,0.004,TFAA,3.5,Pyridine N-Oxide,3,120,100,21.15440858,124it6,22,finished,1,Simone_SPES_37_run22_20241106113518
SM,100,Ir(ppy)_3,0.00186043,TFAA,3.5,Pyridine N-Oxide,3,120,100,0,f70949,23,finished,1,Simone_SPES_37_run23_20241106120803
SM,100,Ir(ppy)_3,0.00188068,TFAA,3.5,Pyridine N-Oxide,3,120,100,3.746382011,oy2yha,24,finished,1,Simone_SPES_37_run24_20241106124051
SM,100,Ru(bpy)_3(PF_6)_2,0.0017977,TFAA,3.5,Pyridine N-Oxide,3,120,100,69.02796954,18y6f1,25,finished,1,Simone_SPES_37_run25_20241106131339
SM,100,Ru(bpy)_3(PF_6)_2,0.00171781,TFAA,3.5,Pyridine N-Oxide,3,120,100,66.41213302,6qi9no,26,finished,1,Simone_SPES_37_run26_20241106134624
SM,100,Ru(bpy)_3(PF_6)_2,0.00170488,TFAA,3.5,Pyridine N-Oxide,2.895672,120,100,70.77485654,uxgr6q,27,finished,1,Simone_SPES_37_run27_20241106141909
SM,100,(Ir[dF(CF_3)ppy]_2(dtbpy))PF_6,0.00181078,TFAA,3.5,Pyridine N-Oxide,2.540541,120,100,0,mq0kcw,28,finished,1,Simone_SPES_37_run28_20241106145153
