Limiting Reagent,Limiting Reagent conc,Ethanol,Ethanol conc,pTsOH,pTsOH conc,Photocatalyst,Photocatalyst *CTMP* conc,Thiol,Thiol *CTMP* conc,Light Intensity,Residence Time,Yield 5a,Yield 5b,run index
4-Ph py,50,EtOH,42,pTsOH,2.92,Ir(ppy)_2(dtbbpy)PF_6,0.00761,HSCH_2CO_2Me,0.0288,50,2210,18,1.8,1
4-Ph py,50,EtOH,1.78,pTsOH,3.53,Ir[dF(CF_3)ppy]_2(dtbbpy)PF_6,0.0122,HSCH_2CO_2Me,0.0203,75,4650,4,0,2
4-Ph py,50,EtOH,58.8,pTsOH,3.88,Ir[dF(CF_3)ppy]_2(dtbbpy)PF_6,0.00382,HSCH_2CO_2Me,0.0328,100,4470,20,0.4,3
4-Ph py,50,EtOH,50.6,pTsOH,1.12,Ru(bpy)_3(PF_6)_2,0.015,HSCH_2CO_2Me,0.0795,0,1230,0,0,4
4-Ph py,50,EtOH,27.4,pTsOH,3.14,Ir(ppy)_2(dtbbpy)PF_6,0.0106,HSCH(Me)CO_2Et,0.0716,25,5200,32,3.4,5
4-Ph py,50,EtOH,47.3,pTsOH,2.57,Ru(bpy)_3(PF_6)_2,0.0085,HSCH(Me)CO_2Et,0.0729,0,2540,0,0,6
4-Ph py,50,EtOH,9.36,pTsOH,3.27,Ir[dF(CF_3)ppy]_2(dtbbpy)PF_6,0.00628,HSCH_2CO_2Me,0.0256,100,834,3,0,7
4-Ph py,50,EtOH,11.1,pTsOH,1.61,Ir[dF(CF_3)ppy]_2(dtbbpy)PF_6,0.00259,HSCH(Me)CO_2Et,0.0871,50,3740,1,0,8
4-Ph py,50,EtOH,13.9,pTsOH,3.06,Ir(ppy)_3,0.0193,HSCH(Me)CO_2Et,0.0517,75,5060,1,0,9
4-Ph py,50,EtOH,52.4,pTsOH,3.6,Ru(bpy)_3(PF_6)_2,0.0161,HSCH(Me)CO_2Et,0.0614,50,3590,0,0,10
4-Ph py,50,EtOH,35.8,pTsOH,1.58,Ru(bpy)_3(PF_6)_2,0.00909,HSCH(Me)CO_2Et,0.0996,25,4210,0,0,11
4-Ph py,50,EtOH,25.4,pTsOH,2.23,Ir[dF(CF_3)ppy]_2(dtbbpy)PF_6,0.0132,HSCH(Me)CO_2Et,0.0568,50,1690,9,0,12
4-Ph py,50,EtOH,23.3,pTsOH,2.13,Ir(ppy)_3,0.014,HSCH(Me)CO_2Et,0.0456,50,462,0,0,13
4-Ph py,50,EtOH,21.2,pTsOH,1.38,Ir(ppy)_3,0.00531,HSCH_2CO_2Me,0.065,0,3940,0,0,14
4-Ph py,50,EtOH,15.8,pTsOH,1.3,Ir(ppy)_3,0.0045,HSCH(Me)CO_2Et,0.0922,75,2070,0,0,15
4-Ph py,50,EtOH,3.67,pTsOH,3.83,Ru(bpy)_3(PF_6)_2,0.0113,HSCH(Me)CO_2Et,0.0381,25,2840,0,0,16
4-Ph py,50,EtOH,38.4,pTsOH,1.79,Ru(bpy)_3(PF_6)_2,0.00973,HSCH_2CO_2Me,0.0558,75,594,0,0,17
4-Ph py,50,EtOH,56.7,pTsOH,2.02,Ir(ppy)_3,0.0179,HSCH(Me)CO_2Et,0.0432,25,3190,0,0.6,18
4-Ph py,50,EtOH,44.3,pTsOH,2.67,Ir(ppy)_2(dtbbpy)PF_6,0.0171,HSCH_2CO_2Me,0.0891,50,3080,30,0.4,19
4-Ph py,50,EtOH,53.2,pTsOH,3.97,Ir(ppy)_3,0.0184,HSCH_2CO_2Me,0.0931,100,3106,3,1,20
4-Ph py,50,EtOH,35.4,pTsOH,3.98,Ru(bpy)_3(PF_6)_2,0.0094,HSCH_2CO_2Me,0.0772,100,377,0,0,21
4-Ph py,50,EtOH,21.9,pTsOH,1.28,Ir[dF(CF_3)ppy]_2(dtbbpy)PF_6,0.0185,HSCH(Me)CO_2Et,0.0951,50,2609,11,0,22
4-Ph py,50,EtOH,55.9,pTsOH,3.51,Ru(bpy)_3(PF_6)_2,0.0192,HSCH_2CO_2Me,0.0859,25,2971,0,0,23
4-Ph py,50,EtOH,55,pTsOH,3.97,Ir(ppy)_3,0.0096,HSCH(Me)CO_2Et,0.0219,25,4216,0,0,24
4-Ph py,50,EtOH,0.7,pTsOH,3.96,Ru(bpy)_3(PF_6)_2,0.0116,HSCH_2CO_2Me,0.0933,100,4095,0,0,25
4-Ph py,50,EtOH,40.5,pTsOH,4,Ir(ppy)_2(dtbbpy)PF_6,0.0182,HSCH(Me)CO_2Et,0.0694,25,3074,24,0.4,26
4-Ph py,50,EtOH,0.8,pTsOH,3.99,Ir[dF(CF_3)ppy]_2(dtbbpy)PF_6,0.0138,HSCH_2CO_2Me,0.0354,0,3363,0,0,27
