Starting Material,Starting Material conc,$D_{2}O$,$D_{2}O$ conc,Photocatalyst,Photocatalyst *CTMP* conc,Thiol,Thiol *CTMP* conc,Light Intensity,Residence Time,7 Integral,7 Integral Variance,6 Integral,6 Integral Variance,run index
4-Bromo-Benz,250,D2O,2.11729,Benzophenone,0.1049525,Ethyl Thioglycolate,0.179105,50,2623.4064,13.11861824,0.567477419,207.043262,133.4229064,1
4-Bromo-Benz,250,D2O,36.59663,Benzophenone,0.191618,Ethyl Thioglycolate,0.0828185,75,1491.7968,27.69845778,7.715426297,187.8547867,100.393788,2
4-Bromo-Benz,250,D2O,28.09121,Benzophenone,0.178451,Ethyl Thioglycolate,0.159146,25,3849.4752,25.42303008,6.060120671,179.8990951,87.95969858,3
4-Bromo-Benz,250,D2O,19.1884,Benzophenone,0.068891,Ethyl 2-Mercaptopropionate,0.1418945,50,681.4224,14.8937557,0.999564009,251.0417257,226.8607953,4
4-Bromo-Benz,250,D2O,8.86557,Benzophenone,0.1834835,Thiophenol,0.162899,75,4496.9088,15.58016129,1.199215005,173.9467283,76.70376641,5
4-Bromo-Benz,250,D2O,4.89069,Benzophenone,0.091457,Ethyl 2-Mercaptopropionate,0.0782075,0,869.6016,10.23676979,0.124734273,244.1666644,210.6352554,6
4-Bromo-Benz,250,D2O,15.80397,Benzophenone,0.127811,Ethyl Thioglycolate,0.114185,25,2316.0048,17.50110903,1.85450731,217.9013945,154.1905077,7
4-Bromo-Benz,250,D2O,37.718,Benzophenone,0.2,Ethyl Thioglycolate,0.113573,100,4503.8256,33.26180584,11.98841598,144.7983091,32.70641936,8
4-Bromo-Benz,250,D2O,40.0,Benzophenone,0.2,Ethyl Thioglycolate,0.118547,100,5400.0,34.74344628,13.08374779,142.6016204,30.13920191,9
4-Bromo-Benz,250,D2O,40.0,Benzophenone,0.2,Ethyl Thioglycolate,0.131735,100,5400.0,33.94327155,12.48625696,140.2577603,27.51568118,10
4-Bromo-Benz,250,D2O,40.0,Benzophenone,0.2,Ethyl Thioglycolate,0.1454855,100,5400.0,33.69854069,12.30630474,137.3127132,24.38856758,11
4-Bromo-Benz,250,D2O,40.0,Benzophenone,0.2,Ethyl Thioglycolate,0.1652555,100,5400.0,34.13174159,12.62573051,139.5687693,26.76719818,12
4-Bromo-Benz,250,D2O,19.6664,4*4'-Difluorobenzophenone,0.065465,Thiophenol,0.1649945,25,1537.0992,11.6824832,0.30681534,273.5773529,284.2666849,13
4-Bromo-Benz,250,D2O,30.0816,Benzophenone,0.128612,2*4*6-triisopropylbenzenethiol,0.112343,50,4526.4768,26.22487381,6.620659135,227.9166739,174.6772529,14
4-Bromo-Benz,250,D2O,7.1224,4*4'-Difluorobenzophenone,0.1550825,2*4*6-triisopropylbenzenethiol,0.079133,75,3491.808,19.30920319,2.601284745,261.3162977,252.2314178,15
4-Bromo-Benz,250,D2O,40.0,Benzophenone,0.2,2*4*6-triisopropylbenzenethiol,0.1322195,100,5400.0,28.93109305,8.695493903,199.5465379,119.960659,16
4-Bromo-Benz,250,D2O,40.0,Benzophenone,0.2,2*4*6-triisopropylbenzenethiol,0.0558875,100,5400.0,33.30995875,12.02326129,173.8463782,76.52060708,17
