Limiting Reagent,Limiting Reagent conc,Temperature,HCO$_2$Na,HCO$_2$Na conc,$NAD^{+}$,$NAD^{+}$ conc,FDH,FDH *CTMP* conc,Enzyme,Enzyme *CTMP* conc,Residence Time,Yield Predicted,vial idx,run index,status,attempts,9a Integral,9b Integral
SM,10,35.41,HCO_2Na,7.386,NAD^+,0.3222,Formate Dehydrogenase,0.0009585,Pf ADH,0.0009901,953.5,NaN ± NaN,0x024,1,finished,1,2.360924683,13.35719612
SM,10,25.13,HCO_2Na,9.31,NAD^+,0.7037,Formate Dehydrogenase,0.0004649,Cm ADH,0.0008547,2393,NaN ± NaN,0x020,5,finished,1,1.665482955,6.254261364
SM,10,30.88,HCO_2Na,5.072,NAD^+,0.5855,Formate Dehydrogenase,0.0003798,Cm ADH,0.001855,2000,NaN ± NaN,0x022,6,finished,1,2.186956522,9.267391304
SM,10,33.14,HCO_2Na,4.567,NAD^+,0.8963,Formate Dehydrogenase,0.000621,Aa ADH,0.001774,1464,NaN ± NaN,0x023,8,finished,1,2.094910591,20.03713893
SM,10,26.62,HCO_2Na,5.583,NAD^+,0.9374,Formate Dehydrogenase,0.0007162,Pp ADH,0.001633,2948,NaN ± NaN,0x021,9,finished,1,13.31747026,0
SM,10,36.82,HCO_2Na,7.983,NAD^+,0.6277,Formate Dehydrogenase,0.000812,Cm ADH,0.00141,4010,NaN ± NaN,0x025,10,finished,1,1.286679537,6.507722008
SM,10,31.17,HCO_2Na,2.697,NAD^+,0.8242,Formate Dehydrogenase,0.0005478,Pp ADH,0.0005327,3864,NaN ± NaN,0x026,22,finished,1,13.55103281,4.693195626
SM,10,29.45,HCO_2Na,8.824,NAD^+,0.3495,Formate Dehydrogenase,0.0006385,Aa ADH,0.001275,4564,NaN ± NaN,0x027,27,finished,1,0.218192993,23.10325753
SM,10,25.84,HCO_2Na,5.485,NAD^+,0.9996,Formate Dehydrogenase,0.0007255,Pp ADH,0.001858,2885,NaN ± NaN,0x021,32,finished,1,12.61349693,0.260736196
SM,10,25.69,HCO_2Na,5.686,NAD^+,0.9476,Formate Dehydrogenase,0.000714,Pp ADH,0.001838,2873,NaN ± NaN,0x020,33,finished,1,11.57737725,0
SM,10,32.22,HCO_2Na,6.137,NAD^+,0.6542,Formate Dehydrogenase,0.000596,Pf ADH,0.001297,2976,NaN ± NaN,0x022,34,finished,1,4.564925373,27.25074627
SM,10,32.95,HCO_2Na,6.366,NAD^+,0.5946,Formate Dehydrogenase,0.0006204,Pp ADH,0.001177,2813,NaN ± NaN,0x023,35,finished,1,13.57997218,0
SM,10,30.83,HCO_2Na,2.5,NAD^+,0.9176,Formate Dehydrogenase,0.000589,Aa ADH,0.0005,2918,NaN ± NaN,0x025,42,finished,1,1.144891641,19.9374613
