Starting Material,Starting Material conc,Coupling Partner,Coupling Partner conc,Catalyst conc,Base,Base conc,Temperature,Residence time,Yield,Catalyst U-Map1,Catalyst U-Map2
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.226,3.714,Barton,1.889,121.9,89.6,53.338536,0.005265009,0.998340564
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.207,5,DBU,1.023,113.4,28.21666667,1.914918,1,0.272728915
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.485,3.859,Barton,2.895,115,52.86666667,37.879608,0.053573035,0.655555411
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.404,2.677,DBU,2.689,116.9,18.36666667,21.661692,0.001727995,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.426,3.29,TMG,2.589,119.7,23.9,7.6404792,0.262846,0.980493947
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.159335,2.05024,DBU,2.97288,112.1,53.5984,5.631626899,0,0.878157724
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.378,4.233,DBU,2.028,113.4,15.39833333,10.704348,0.262846,0.980493947
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.473795,4.52596,DBU,2.16384,125.3,71.728,39.46260651,0.001727995,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.097045,1.3296,TMG,2.72416,113.6,54.6496,7.857387799,0.001727995,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.41619,2.0798,Barton,1.15292,141.1,20.8432,2.951606776,0.87893575,0
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.072265,1.47256,TMG,2.39274,147.9,33.948,14.32050838,0.001727995,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.02163,3.68404,TMG,2.35542,146,81.68,3.452370786,1,0.272728915
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.365035,1.30176,TMG,1.2684,126.1,79.6064,0,0.262846,0.980493947
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.374025,2.8866,TMG,2.62604,149.5,25.0464,22.11765936,0.001727995,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.11752,4.55168,Barton,1.61882,138.6,43.3,4.807827774,0.87893575,0
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.492675,4.77108,DBU,1.67122,133,29.56,27.20386763,0,0.878157724
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.308465,1.78528,TMG,1.93908,128.1,38.4584,11.20711339,0,0.878157724
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.172985,4.67976,Barton,2.58768,125.7,29.6,71.03206291,0.005265009,0.998340564
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.241685,5,Barton,2.36514,120.8,30.6768,58.80594516,0.001727995,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.32053,5,Barton,3,127.4,15.6832,75.56659511,0.001727995,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.38082,4.78012,TMG,2.91546,124.4,14.608,20.68716024,0,0.879617393
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.30269,5,TMG,2.9813,125.3,14.0664,18.07471883,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.21083,4.73772,Barton,2.89774,123.7,21.492,76.57122114,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.28283,3.51812,DBU,3,125,10.3664,13.01860492,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.170985,4.9864,Barton,2.8644,128.6,12.0832,83.35511324,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.08181,5,Barton,2.88726,136.9,10,73.30505785,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.15648,5,Barton,2.91458,127.3,10,73.31965787,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.35467,5,Barton,2.82986,122.6,10,1.248336447,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.15151,5,Barton,2.98718,137,19.232,78.4985601,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.17695,4.91084,Barton,3,129.1,21.6336,77.10716461,0.005265009,1
4-Bromobenzotrifluoride,100,3-Aminopyridine,1.191375,4.91264,Barton,2.91464,137.7,20.092,6.947835249,0.87893575,0
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.082335,2.71532,TMG,1.0293,130.3696,64.9792,89.917726,0,0.879617393
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.347575,1.61348,TMG,2.31016,140.9672,78.4712,4.117094,0.262846,0.982123719
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.04981,4.41596,Barton,1.8965,111.2332,15.1224,51.910758,0.005265009,1
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.249085,3.47316,DBU,1.7019,129.9808,18.3112,88.23748,1,0.310569397
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.0604,2.81068,TMG,1,130.8,66.8464,96.20500805,0,1
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.029325,2.94444,TMG,1,131.4,69.5264,90.54343048,0,1
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.05573,3.55032,TMG,1,135.4,50.0032,93.11364359,0,1
2-Bromo-5-(trifluoromethyl)pyridine,100,4-Hydroxypiperidine,1.055225,2.90436,TMG,1,128,63.5032,92.08881671,0,1
