Styrene [equiv.],Photocatalyst,Photocatalyst *CTMP* conc,Ligand,Ligand *CTMP* conc,Sc(OTf)$_3$ *CTMP* conc,AcOiPr:MeCN Ratio,Light Intensity,Residence Time,Yield,Diastereomeric Ratio,Enantiomeric Excess
7,Ir(ppy)_2(dtbbpy)PF_6,2.17,(S*S)-tBu-Pybox,11.6,6.8,1.82,75,89.5,92.3,1.3,96.4
9,Ru(bpy)_3(PF_6)_2,2.05,(S*S)-tBu-iPrbox,28.7,11.9,3.34,75,65.7,61,3.2,0.6
3.6,Ir(dFppy)_2(dtbbpy)PF_6,5.95,(S*S)-tBu-iPrbox,18.3,19.1,1.64,25,66.8,1.4,4.0,12.8
6.6,Ir(dFppy)_2(dtbbpy)PF_6,4.39,(S*S)-Bn-Pybox,10.2,6.1,1.68,25,73.1,2.6,3.3,8.8
8.9,Ir(ppy)_2(dtbbpy)PF_6,2.26,(S*S)-iPr-Pybox,12.9,16.8,1.79,100,8.7,9,3.4,17.8
7.7,Ru(bpy)_3(PF_6)_2,1.59,(S*S)-tBu-iPrbox,10.7,19.4,2.21,50,82.6,74.5,3.0,0.5
3.3,Ir(dFppy)_2(dtbbpy)PF_6,2.46,(S*S)-Bn-Pybox,10.4,13.5,2.67,25,12.7,0.2,3.2,0
9.9,Ru(bpy)_3(PF_6)_2,2.57,(S*S)-Bn-Pybox,16.1,17,2.67,100,52.3,83,2.9,36
10,Ir(ppy)_2(dtbbpy)PF_6,2.61,(S*S)-Bn-Pybox,12.9,13.7,2.02,100,86.6,67.4,3.0,63
3.8,Ru(bpy)_3(PF_6)_2,4.87,(S*S)-tBu-Pybox,16.2,15.2,1.76,75,74.1,80.1,2.2,22.1
10,Ru(bpy)_3(PF_6)_2,1.5,(S*S)-tBu-Pybox,10.3,5,1.99,100,86,11.4,1.6,62.4
8.1,Ir(ppy)_2(dtbbpy)PF_6,1.5,(S*S)-tBu-Pybox,10,7.2,3.62,75,42.9,48.1,1.5,98.2
5.1,Ru(bpy)_3(PF_6)_2,5.01,(S*S)-tBu-iPrbox,19.9,19.4,2.15,75,55,74.3,3.2,2.8
2.5,Ir(dFppy)_2(dtbbpy)PF_6,6,(S*S)-tBu-iPrbox,30,20,2.01,25,49.8,74.3,1.2,98
6.6,Ir(ppy)_2(dtbbpy)PF_6,2.55,(S*S)-tBu-iPrbox,11.6,6.4,1.77,100,90,1.4,1.9,1
6.9,Ir(ppy)_2(dtbbpy)PF_6,2.54,(S*S)-tBu-iPrbox,11.7,6.3,1.77,100,90,45.7,2.2,0.2
6.8,Ir(ppy)_2(dtbbpy)PF_6,2.53,(S*S)-tBu-iPrbox,12,6.3,1.77,75,90,42.3,2.1,0
7.1,Ir(ppy)_2(dtbbpy)PF_6,2.03,(S*S)-tBu-Pybox,12.4,7.8,1.85,75,89.2,94.9,1.4,89.1
7.7,Ir(ppy)_2(dtbbpy)PF_6,1.5,(S*S)-tBu-Pybox,10,5,2.36,100,73.5,99.7,1.4,99.6
5.4,Ir(dFppy)_2(dtbbpy)PF_6,5.55,(S*S)-tBu-iPrbox,16.4,19.8,1.53,25,48.8,1.1,4.3,62.2
5.2,Ir(dFppy)_2(dtbbpy)PF_6,5.77,(S*S)-tBu-iPrbox,21.1,20,1.89,25,46.6,1.1,4.0,0
2.5,Ir(dFppy)_2(dtbbpy)PF_6,6,(S*S)-tBu-iPrbox,21.1,20,1.93,25,54.6,0.8,3.8,3.7
10,Ir(ppy)_2(dtbbpy)PF_6,2.69,(S*S)-Bn-Pybox,12.9,16.4,1.97,75,47.1,62.8,3.6,24.5
5.4,Ru(bpy)_3(PF_6)_2,4.02,(S*S)-iPr-Pybox,17.6,20,2.19,75,63.9,66.9,3.2,25.8
8.5,Ir(ppy)_2(dtbbpy)PF_6,1.58,(S*S)-tBu-Pybox,11,7,3.32,100,86.9,97.5,1.4,67.1
10,Ir(ppy)_2(dtbbpy)PF_6,5.18,(S*S)-tBu-iPrbox,16.7,20,1.56,50,5,3.85,3.2,14.3
10,Ir(ppy)_2(dtbbpy)PF_6,2.34,(S*S)-Bn-Pybox,12.6,12.3,2.14,100,90,67.9,2.9,52.2
10,Ir(ppy)_2(dtbbpy)PF_6,2.41,(S*S)-Bn-Pybox,12.6,12.4,2.09,100,90,68.3,2.9,50
10,Ir(ppy)_2(dtbbpy)PF_6,5.41,(S*S)-tBu-iPrbox,15.7,20,1.54,25,9.3,3.8,3.3,0
