wavelength,absorbance
200.11,1699760.9414432533
201.35,1576621.673355231
202.59,1473678.2780444003
203.83,1402931.2198688986
205.07,1374541.886763015
206.32,1360558.8738660167
207.56,1378979.9571795424
208.8,1389548.840036312
210.04,1390097.3710166588
211.29,1365418.8033935672
212.53,1323720.5893658283
213.77,1265103.178888525
215.02,1209465.5536583874
216.26,1164002.671220667
217.51,1133975.0382160312
218.75,1121183.688088974
220.0,1122278.255154774
221.24,1131629.514935166
222.49,1146982.0113738917
223.73,1158520.2017912548
224.98,1157634.9170786014
226.23,1141493.1926768583
227.47,1110525.1557125568
228.72,1071225.137628333
229.97,1028409.3326667253
231.21,984190.3842528092
232.46,935429.0457748044
233.71,877402.2171538007
234.96,807753.5055242607
236.21,726540.4192035672
237.46,636640.7206953038
238.7,543069.8774093848
239.95,450516.3287948892
241.2,360925.4055008477
242.45,277130.80478548625
243.7,204026.1376390415
244.95,146079.18579926662
246.2,104841.33609917245
247.45,78642.73700471519
248.7,63653.34609573508
249.96,56472.499014179295
251.21,54256.12611395272
252.46,55120.570715695634
253.71,57819.16807227008
254.96,61437.32384279851
256.21,65495.706534867786
257.47,70350.4264981717
258.72,75766.58875370878
259.97,81155.52186205068
261.23,85994.02545213529
262.48,90348.09621499704
263.73,94451.72925850903
264.99,97638.8168138646
266.24,98506.59322033588
267.5,96304.09489992102
268.75,91602.64022143073
270.0,86126.26938130561
271.26,80848.06516377632
272.52,74040.51363008583
273.77,65386.35320183646
275.03,56841.75513549653
276.28,47879.75996339553
277.54,37297.64451622115
278.79,26476.63661786013
280.05,17580.430199702943
281.31,11110.412390671248
282.56,6842.426455078596
283.82,4195.37483162671
285.08,2674.8421931686366
286.34,1802.2148946099328
287.59,1271.486479145835
288.85,1035.6469319626465
290.11,813.4668018735858
291.37,734.378724432498
292.63,663.2524746852749
293.89,613.6037275504068
295.15,606.3042929831436
296.4,549.8661153191669
297.66,490.30181739806335
298.92,522.6190905952429
300.18,525.0523868499886
301.44,476.23925388811006
302.7,436.72901829549454
303.96,404.2393628026629
305.22,350.3317525731233
306.48,309.6703689518775
307.75,290.6111818153725
309.01,274.7331718448912
310.27,259.1654617901049
311.53,240.75500183300113
312.79,227.2178834205275
314.05,250.15387307305144
315.31,157.48760862104945
316.58,126.82866439140084
317.84,172.978000372304
319.1,163.332904663888
320.36,144.65231993654206
321.63,148.475390355361
322.89,165.30896821694265
324.15,179.49893862988026
325.42,180.8786399885498
326.68,137.69102294000925
327.94,148.439550443804
329.21,130.48400684600676
330.47,89.48141469777676
331.73,86.14644736469506
333.0,143.91067996313856
334.26,75.13197499630627
335.53,109.52870844879297
336.79,51.49067597836694
338.06,146.65670931301526
339.32,77.05905930300901
340.59,114.57084443865728
341.85,87.15920099933396
343.12,99.34439222951664
344.39,124.60314658106
345.65,98.7176979516828
346.92,100.67667294253187
348.18,69.30166852950651
349.45,115.36098563124943
